x;y
0.00144338;0.00144338
0.004319;0.00433567
0.00718345;0.00723351
0.0100367;0.0101369
0.0128787;0.0130457
0.0157094;0.0159601
0.0185289;0.0188799
0.021337;0.0218052
0.0241336;0.0247359
0.0269189;0.0276721
0.0296928;0.0306137
0.0324551;0.0335607
0.0352059;0.036513
0.0379452;0.0394708
0.0406729;0.0424338
0.043389;0.0454022
0.0460935;0.048376
0.0487863;0.051355
0.0514673;0.0543392
0.0541367;0.0573288
0.0567942;0.0603235
0.05944;0.0633235
0.062074;0.0663287
0.0646961;0.0693391
0.0673063;0.0723546
0.0699047;0.0753752
0.0724911;0.078401
0.0750655;0.0814318
0.077628;0.0844678
0.0801785;0.0875087
0.0827169;0.0905547
0.0852433;0.0936057
0.0877576;0.0966617
0.0902599;0.0997227
0.09275;0.102789
0.0952279;0.105859
0.0976937;0.108935
0.100147;0.112016
0.102589;0.115101
0.105018;0.118191
0.107435;0.121286
0.10984;0.124386
0.112232;0.127491
0.114612;0.1306
0.11698;0.133714
0.119336;0.136832
0.121679;0.139956
0.12401;0.143083
0.126328;0.146216
0.128634;0.149353
0.130928;0.152494
0.13321;0.155641
0.135478;0.158791
0.137735;0.161946
0.139979;0.165106
0.142211;0.168269
0.14443;0.171438
0.146637;0.17461
0.148831;0.177787
0.151013;0.180968
0.153182;0.184154
0.155339;0.187343
0.157484;0.190537
0.159616;0.193735
0.161735;0.196937
0.163842;0.200144
0.165937;0.203354
0.168019;0.206568
0.170088;0.209787
0.172145;0.213009
0.17419;0.216236
0.176222;0.219466
0.178241;0.2227
0.180248;0.225939
0.182243;0.229181
0.184225;0.232427
0.186195;0.235676
0.188152;0.23893
0.190097;0.242187
0.192029;0.245448
0.193949;0.248712
0.195856;0.25198
0.197751;0.255252
0.199634;0.258527
0.201504;0.261806
0.203361;0.265089
0.205207;0.268375
0.20704;0.271664
0.20886;0.274957
0.210669;0.278253
0.212465;0.281553
0.214248;0.284856
0.216019;0.288162
0.217779;0.291471
0.219525;0.294784
0.22126;0.2981
0.222982;0.301419
0.224692;0.304742
0.22639;0.308067
0.228075;0.311396
0.229749;0.314727
0.23141;0.318062
0.233059;0.3214
0.234696;0.32474
0.236321;0.328084
0.237934;0.33143
0.239535;0.33478
0.241124;0.338132
0.242701;0.341487
0.244266;0.344845
0.245819;0.348206
0.24736;0.351569
0.248889;0.354935
0.250406;0.358304
0.251912;0.361676
0.253405;0.36505
0.254887;0.368426
0.256357;0.371806
0.257816;0.375188
0.259262;0.378572
0.260697;0.381959
0.262121;0.385348
0.263532;0.38874
0.264932;0.392134
0.266321;0.39553
0.267698;0.398929
0.269064;0.40233
0.270418;0.405733
0.271761;0.409139
0.273092;0.412547
0.274412;0.415957
0.275721;0.419369
0.277018;0.422784
0.278304;0.4262
0.279579;0.429619
0.280843;0.43304
0.282095;0.436463
0.283337;0.439887
0.284567;0.443314
0.285787;0.446743
0.286995;0.450174
0.288192;0.453606
0.289379;0.457041
0.290555;0.460477
0.291719;0.463916
0.292873;0.467356
0.294016;0.470798
0.295149;0.474241
0.296271;0.477687
0.297382;0.481134
0.298482;0.484583
0.299572;0.488033
0.300651;0.491485
0.30172;0.494939
0.302779;0.498395
0.303827;0.501852
0.304864;0.50531
0.305892;0.50877
0.306909;0.512232
0.307915;0.515695
0.308912;0.51916
0.309898;0.522626
0.310874;0.526093
0.311841;0.529562
0.312797;0.533032
0.313743;0.536504
0.314679;0.539977
0.315605;0.543451
0.316522;0.546927
0.317428;0.550404
0.318325;0.553882
0.319212;0.557361
0.32009;0.560842
0.320957;0.564324
0.321816;0.567807
0.322664;0.571291
0.323503;0.574777
0.324333;0.578263
0.325153;0.581751
0.325964;0.58524
0.326765;0.588729
0.327557;0.59222
0.32834;0.595712
0.329113;0.599205
0.329878;0.602699
0.330633;0.606194
0.331379;0.60969
0.332117;0.613187
0.332845;0.616685
0.333564;0.620184
0.334275;0.623683
0.334976;0.627184
0.335669;0.630685
0.336353;0.634188
0.337028;0.637691
0.337695;0.641195
0.338352;0.644699
0.339002;0.648205
0.339643;0.651711
0.340275;0.655219
0.340899;0.658727
0.341514;0.662235
0.342121;0.665745
0.34272;0.669255
0.34331;0.672765
0.343892;0.676277
0.344466;0.679789
0.345032;0.683302
0.34559;0.686815
0.34614;0.690329
0.346681;0.693844
0.347215;0.69736
0.347741;0.700875
0.348259;0.704392
0.348769;0.707909
0.349271;0.711427
0.349766;0.714945
0.350252;0.718464
0.350732;0.721983
0.351203;0.725503
0.351667;0.729023
0.352124;0.732544
0.352572;0.736065
0.353014;0.739587
0.353448;0.743109
0.353875;0.746632
0.354294;0.750155
0.354706;0.753678
0.355111;0.757202
0.355509;0.760726
0.355899;0.764251
0.356283;0.767776
0.356659;0.771302
0.357028;0.774828
0.357391;0.778354
0.357746;0.78188
0.358095;0.785407
0.358436;0.788935
0.358771;0.792462
0.359099;0.79599
0.359421;0.799518
0.359735;0.803047
0.360043;0.806576
0.360345;0.810105
0.36064;0.813634
0.360928;0.817164
0.36121;0.820694
0.361485;0.824224
0.361754;0.827754
0.362017;0.831285
0.362273;0.834816
0.362523;0.838347
0.362766;0.841878
0.363004;0.84541
0.363235;0.848942
0.363461;0.852474
0.36368;0.856006
0.363893;0.859538
0.3641;0.863071
0.364301;0.866603
0.364496;0.870136
0.364685;0.873669
0.364869;0.877202
0.365046;0.880736
0.365218;0.884269
0.365384;0.887803
0.365544;0.891336
0.365699;0.89487
0.365848;0.898404
0.365991;0.901938
0.366129;0.905472
0.366262;0.909007
0.366388;0.912541
0.36651;0.916076
0.366626;0.91961
0.366736;0.923145
0.366842;0.92668
0.366942;0.930214
0.367036;0.933749
0.367126;0.937284
0.36721;0.940819
0.367289;0.944354
0.367363;0.947889
0.367432;0.951425
0.367496;0.95496
0.367554;0.958495
0.367608;0.962031
0.367657;0.965566
0.367701;0.969101
0.36774;0.972637
0.367774;0.976172
0.367803;0.979708
0.367828;0.983243
0.367848;0.986779
0.367863;0.990314
0.367873;0.99385
0.367879;0.997385
0.36788;1.00092
0.367876;1.00446
0.367868;1.00799
0.367856;1.01153
0.367839;1.01506
0.367817;1.0186
0.367791;1.02213
0.367761;1.02567
0.367726;1.0292
0.367687;1.03274
0.367644;1.03628
0.367596;1.03981
0.367544;1.04335
0.367488;1.04688
0.367428;1.05042
0.367363;1.05395
0.367295;1.05749
0.367222;1.06102
0.367146;1.06456
0.367065;1.06809
0.36698;1.07163
0.366891;1.07516
0.366799;1.0787
0.366702;1.08223
0.366602;1.08577
0.366498;1.0893
0.366389;1.09284
0.366277;1.09637
0.366162;1.09991
0.366042;1.10344
0.365919;1.10698
0.365792;1.11051
0.365662;1.11404
0.365528;1.11758
0.36539;1.12111
0.365249;1.12465
0.365104;1.12818
0.364956;1.13171
0.364804;1.13525
0.364648;1.13878
0.36449;1.14232
0.364328;1.14585
0.364162;1.14938
0.363993;1.15292
0.363821;1.15645
0.363645;1.15998
0.363466;1.16352
0.363284;1.16705
0.363099;1.17058
0.36291;1.17412
0.362719;1.17765
0.362524;1.18118
0.362326;1.18471
0.362125;1.18825
0.36192;1.19178
0.361713;1.19531
0.361503;1.19884
0.36129;1.20238
0.361073;1.20591
0.360854;1.20944
0.360632;1.21297
0.360407;1.21651
0.360179;1.22004
0.359948;1.22357
0.359714;1.2271
0.359478;1.23063
0.359238;1.23416
0.358996;1.2377
0.358751;1.24123
0.358504;1.24476
0.358254;1.24829
0.358001;1.25182
0.357745;1.25535
0.357487;1.25888
0.357226;1.26241
0.356962;1.26594
0.356696;1.26947
0.356428;1.273
0.356157;1.27653
0.355883;1.28006
0.355607;1.28359
0.355328;1.28712
0.355047;1.29065
0.354764;1.29418
0.354478;1.29771
0.35419;1.30124
0.353899;1.30477
0.353606;1.3083
0.353311;1.31183
0.353013;1.31536
0.352714;1.31889
0.352412;1.32242
0.352107;1.32595
0.351801;1.32948
0.351492;1.33301
0.351181;1.33653
0.350868;1.34006
0.350553;1.34359
0.350235;1.34712
0.349916;1.35065
0.349594;1.35418
0.349271;1.35771
0.348945;1.36123
0.348617;1.36476
0.348287;1.36829
0.347956;1.37182
0.347622;1.37534
0.347286;1.37887
0.346949;1.3824
0.346609;1.38593
0.346268;1.38945
0.345925;1.39298
0.34558;1.39651
0.345233;1.40004
0.344884;1.40356
0.344533;1.40709
0.344181;1.41062
0.343826;1.41414
0.34347;1.41767
0.343113;1.4212
0.342753;1.42472
0.342392;1.42825
0.342029;1.43177
0.341665;1.4353
0.341298;1.43883
0.340931;1.44235
0.340561;1.44588
0.34019;1.4494
0.339817;1.45293
0.339443;1.45646
0.339067;1.45998
0.33869;1.46351
0.338311;1.46703
0.33793;1.47056
0.337548;1.47408
0.337165;1.47761
0.33678;1.48113
0.336394;1.48466
0.336006;1.48818
0.335617;1.49171
0.335226;1.49523
0.334834;1.49876
0.334441;1.50228
0.334046;1.50581
0.33365;1.50933
0.333252;1.51285
0.332853;1.51638
0.332453;1.5199
0.332052;1.52343
0.331649;1.52695
0.331245;1.53047
0.33084;1.534
0.330434;1.53752
0.330026;1.54105
0.329617;1.54457
0.329207;1.54809
0.328796;1.55162
0.328383;1.55514
0.32797;1.55866
0.327555;1.56219
0.327139;1.56571
0.326722;1.56923
0.326304;1.57276
0.325885;1.57628
0.325464;1.5798
0.325043;1.58333
0.324621;1.58685
0.324197;1.59037
0.323773;1.59389
0.323347;1.59742
0.322921;1.60094
0.322493;1.60446
0.322065;1.60799
0.321635;1.61151
0.321205;1.61503
0.320774;1.61855
0.320341;1.62207
0.319908;1.6256
0.319474;1.62912
0.319039;1.63264
0.318603;1.63616
0.318166;1.63969
0.317729;1.64321
0.31729;1.64673
0.316851;1.65025
0.316411;1.65377
0.31597;1.65729
0.315528;1.66082
0.315086;1.66434
0.314643;1.66786
0.314198;1.67138
0.313754;1.6749
0.313308;1.67842
0.312862;1.68195
0.312415;1.68547
0.311967;1.68899
0.311518;1.69251
0.311069;1.69603
0.310619;1.69955
0.310169;1.70307
0.309718;1.70659
0.309266;1.71012
0.308813;1.71364
0.30836;1.71716
0.307906;1.72068
0.307452;1.7242
0.306997;1.72772
0.306541;1.73124
0.306085;1.73476
0.305629;1.73828
