x;y
0.149291;3.00071
0.149291;3.00071
0.149291;3.0007
0.149346;2.99947
0.149361;2.99792
0.149359;2.99651
0.149357;2.99511
0.149353;2.99325
0.149348;2.9914
0.149342;2.98955
0.149334;2.98771
0.149242;2.98725
0.149324;2.98451
0.149307;2.98275
0.149291;2.98034
0.149273;2.97795
0.149252;2.97557
0.149229;2.9732
0.149204;2.97085
0.149177;2.96851
0.149148;2.96618
0.149106;2.96311
0.149048;2.95893
0.149017;2.95748
0.148991;2.95597
0.148964;2.95447
0.148936;2.95298
0.148907;2.95149
0.148867;2.94952
0.148825;2.94756
0.148782;2.94561
0.148737;2.94367
0.148691;2.94174
0.148599;2.94041
0.148595;2.93796
0.148526;2.93545
0.148454;2.93295
0.14838;2.93047
0.148303;2.928
0.148223;2.92556
0.148141;2.92313
0.148055;2.92073
0.147949;2.91786
0.147839;2.91502
0.147724;2.91222
0.147606;2.90943
0.147484;2.90668
0.147359;2.90395
0.147229;2.90125
0.147096;2.89858
0.146959;2.89594
0.146818;2.89332
0.146673;2.89073
0.146525;2.88817
0.146374;2.88564
0.146219;2.88313
0.14606;2.88065
0.145898;2.8782
0.145732;2.87578
0.145563;2.87338
0.145391;2.87101
0.145215;2.86867
0.145037;2.86635
0.144855;2.86407
0.144669;2.8618
0.144481;2.85957
0.144289;2.85736
0.144095;2.85518
0.143897;2.85302
0.143696;2.85089
0.143493;2.84879
0.143286;2.84672
0.143077;2.84467
0.142865;2.84264
0.14265;2.84064
0.142433;2.83867
0.142212;2.83672
0.141989;2.8348
0.141764;2.8329
0.141536;2.83103
0.141305;2.82918
0.141072;2.82736
0.140836;2.82557
0.140599;2.82379
0.140358;2.82205
0.140116;2.82032
0.139871;2.81862
0.139624;2.81695
0.139374;2.8153
0.139123;2.81367
0.138869;2.81207
0.138614;2.81048
0.138356;2.80893
0.138097;2.80739
0.137835;2.80588
0.137572;2.80439
0.137306;2.80293
0.137039;2.80149
0.13677;2.80007
0.136499;2.79867
0.136227;2.79729
0.135953;2.79594
0.135677;2.7946
0.135399;2.79329
0.13512;2.792
0.13484;2.79074
0.134558;2.78949
0.134274;2.78826
0.133989;2.78706
0.133703;2.78587
0.133415;2.78471
0.133126;2.78356
0.132836;2.78244
0.132544;2.78134
0.132251;2.78025
0.131957;2.77919
0.131662;2.77815
0.131365;2.77712
0.131068;2.77612
0.130769;2.77513
0.130469;2.77416
0.130168;2.77322
0.129867;2.77229
0.129564;2.77137
0.12926;2.77048
0.128956;2.76961
0.12865;2.76875
0.128344;2.76791
0.128037;2.76709
0.127729;2.76629
0.12742;2.7655
0.127111;2.76474
0.126801;2.76399
0.12649;2.76325
0.126178;2.76254
0.125866;2.76184
0.125553;2.76115
0.125239;2.76049
0.124925;2.75984
0.124611;2.75921
0.124296;2.75859
0.12398;2.75799
0.123664;2.7574
0.123347;2.75683
0.12303;2.75628
0.122713;2.75574
0.122395;2.75522
0.122076;2.75471
0.121758;2.75422
0.121439;2.75374
0.121119;2.75328
0.1208;2.75283
0.12048;2.7524
0.12016;2.75198
