x;y
0.000288675;0.000288675
0.000865581;0.000866248
0.00144204;0.00144404
0.00201806;0.00202206
0.00259363;0.0026003
0.00316875;0.00317876
0.00374343;0.00375744
0.00457024;0.0045911
0.00539607;0.00542525
0.00622097;0.00625986
0.00704494;0.00709492
0.00786798;0.00793045
0.00869009;0.00876643
0.00951127;0.00960287
0.0106923;0.0108081
0.0118712;0.0120143
0.0130482;0.0132215
0.0142232;0.0144296
0.0153963;0.0156386
0.0165675;0.0168486
0.0177367;0.0180596
0.0194172;0.0198049
0.0210934;0.0215522
0.0227656;0.0233015
0.0244336;0.0250527
0.0260976;0.0268059
0.0277576;0.028561
0.0294134;0.030318
0.0317911;0.0328513
0.0341598;0.0353888
0.03652;0.0379302
0.0388716;0.0404757
0.0412147;0.043025
0.0435491;0.0455783
0.0458749;0.0481356
0.048569;0.051114
0.0512511;0.0540978
0.0539213;0.0570869
0.0565799;0.0600813
0.0592266;0.0630808
0.0618615;0.0660856
0.0644846;0.0690955
0.0670958;0.0721106
0.0696951;0.0751309
0.0722825;0.0781562
0.0748579;0.0811867
0.0774213;0.0842222
0.0799728;0.0872628
0.0825122;0.0903083
0.0850396;0.093359
0.0875549;0.0964145
0.0900581;0.0994751
0.0925491;0.102541
0.0950281;0.105611
0.0974949;0.108686
0.0999495;0.111766
0.102392;0.114851
0.104822;0.117941
0.10724;0.121036
0.109646;0.124135
0.112039;0.127239
0.11442;0.130348
0.116789;0.133462
0.119146;0.13658
0.12149;0.139703
0.123822;0.14283
0.126141;0.145963
0.128448;0.149099
0.130743;0.15224
0.133026;0.155386
0.135296;0.158536
0.137553;0.161691
0.139798;0.16485
0.142031;0.168013
0.144251;0.171181
0.146459;0.174354
0.148654;0.17753
0.150837;0.180711
0.153007;0.183896
0.155165;0.187085
0.157311;0.190279
0.159444;0.193476
0.161564;0.196678
0.163672;0.199884
0.165768;0.203094
0.167851;0.206308
0.169921;0.209527
0.171979;0.212749
0.174025;0.215975
0.176058;0.219205
0.178078;0.222439
0.180086;0.225677
0.182082;0.228918
0.184065;0.232164
0.186036;0.235413
0.187994;0.238666
0.18994;0.241923
0.191873;0.245184
0.193794;0.248448
0.195702;0.251716
0.197598;0.254987
0.199482;0.258263
0.201353;0.261541
0.203212;0.264823
0.205058;0.268109
0.206892;0.271398
0.208714;0.274691
0.210523;0.277987
0.21232;0.281286
0.214104;0.284589
0.215877;0.287895
0.217637;0.291204
0.219385;0.294516
0.22112;0.297832
0.222843;0.301151
0.224554;0.304473
0.226253;0.307798
0.22794;0.311127
0.229614;0.314458
0.231276;0.317792
0.232926;0.32113
0.234565;0.32447
0.23619;0.327814
0.237804;0.33116
0.239406;0.334509
0.240996;0.337861
0.242574;0.341216
0.24414;0.344574
0.245694;0.347934
0.247236;0.351297
0.248766;0.354663
0.250284;0.358032
0.25179;0.361403
0.253285;0.364777
0.254768;0.368153
0.256239;0.371532
0.257698;0.374914
0.259146;0.378298
0.260582;0.381685
0.262006;0.385074
0.263419;0.388465
0.26482;0.391859
0.266209;0.395255
0.267587;0.398654
0.268954;0.402055
0.270309;0.405458
0.271653;0.408864
0.272985;0.412271
0.274306;0.415681
0.275615;0.419093
0.276914;0.422508
0.278201;0.425924
0.279476;0.429343
0.280741;0.432763
0.281995;0.436186
0.283237;0.43961
0.284468;0.443037
0.285689;0.446466
0.286898;0.449896
0.288096;0.453329
0.289283;0.456763
0.29046;0.4602
0.291626;0.463638
0.29278;0.467078
0.293924;0.470519
0.295058;0.473963
0.29618;0.477408
0.297292;0.480855
0.298394;0.484304
0.299484;0.487754
0.300564;0.491206
0.301634;0.49466
0.302693;0.498115
0.303742;0.501572
0.304781;0.50503
0.305809;0.50849
0.306827;0.511952
0.307834;0.515415
0.308832;0.518879
0.309819;0.522345
0.310796;0.525813
0.311763;0.529282
0.31272;0.532752
0.313667;0.536223
0.314604;0.539696
0.315531;0.54317
0.316448;0.546646
0.317356;0.550123
0.318253;0.553601
0.319141;0.55708
0.320019;0.560561
0.320888;0.564043
0.321747;0.567526
0.322596;0.57101
0.323436;0.574495
0.324266;0.577981
0.325087;0.581469
0.325898;0.584958
0.3267;0.588447
0.327493;0.591938
0.328277;0.59543
0.329051;0.598923
0.329816;0.602417
0.330573;0.605912
0.33132;0.609408
0.332057;0.612904
0.332786;0.616402
0.333506;0.619901
0.334217;0.6234
0.33492;0.626901
0.335613;0.630402
0.336298;0.633904
0.336974;0.637408
0.337641;0.640911
0.3383;0.644416
0.33895;0.647922
0.339591;0.651428
0.340224;0.654935
0.340848;0.658443
0.341465;0.661952
0.342072;0.665461
0.342672;0.668971
0.343263;0.672482
0.343846;0.675993
0.34442;0.679505
0.344987;0.683018
0.345545;0.686531
0.346096;0.690045
0.346638;0.69356
0.347172;0.697075
0.347699;0.700591
0.348217;0.704108
0.348728;0.707625
0.349231;0.711142
0.349726;0.714661
0.350213;0.718179
0.350693;0.721698
0.351165;0.725218
0.35163;0.728738
0.352087;0.732259
0.352536;0.73578
0.352979;0.739302
0.353413;0.742824
0.35384;0.746347
0.35426;0.74987
0.354673;0.753393
0.355079;0.756917
0.355477;0.760441
0.355868;0.763966
0.356252;0.767491
0.356629;0.771017
0.356999;0.774543
0.357362;0.778069
0.357718;0.781595
0.358067;0.785122
0.358409;0.78865
0.358744;0.792177
0.359073;0.795705
0.359395;0.799233
0.35971;0.802762
0.360019;0.80629
0.360321;0.80982
0.360616;0.813349
0.360905;0.816879
0.361187;0.820408
0.361463;0.823939
0.361732;0.827469
0.361996;0.831
0.362252;0.83453
0.362503;0.838062
0.362747;0.841593
0.362985;0.845124
0.363217;0.848656
0.363443;0.852188
0.363662;0.85572
0.363876;0.859253
0.364083;0.862785
0.364285;0.866318
0.36448;0.86985
0.36467;0.873383
0.364854;0.876917
0.365032;0.88045
0.365204;0.883983
0.365371;0.887517
0.365532;0.891051
0.365687;0.894584
0.365836;0.898118
